
=== BRASIL CONSOLIDADO - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
TOTAL GERAL;4232;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DO PARA;3665;38.24%
SECRETARIA DE ESTADO DE SAUDE PUBLICA;1675;17.48%
MUNICIPIO DE BELEM;682;7.12%
MUNICIPIO DE MARABA;301;3.14%
MUNICIPIO DE ANANINDEUA;217;2.26%
PARA MINISTERIO PUBLICO;207;2.16%
MUNICIPIO DE ALTAMIRA;180;1.88%
MUNICIPIO DE ITAITUBA;164;1.71%
MUNICIPIO DE BREVES;153;1.60%
MUNICIPIO DE ABAETETUBA;133;1.39%
Outros (181 itens);2207;23.03%
TOTAL GERAL;9584;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;3666;38.25%
MUNICIPIO;3270;34.12%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1986;20.72%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;304;3.17%
SOCIEDADE EMPRESARIA LIMITADA;100;1.04%
ND;70;0.73%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;59;0.62%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;40;0.42%
ASSOCIACAO PRIVADA;24;0.25%
ORGAO PUBLICO DO PODER LEGISLATIVO MUNICIPAL;19;0.20%
Outros (7 itens);46;0.48%
TOTAL GERAL;9584;100.00%




=== REGIONAL NO_TJRO_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
10671;1831;18.37%
12500;1622;16.27%
12503;975;9.78%
12501;891;8.94%
12416;828;8.31%
10244;743;7.45%
12487;454;4.56%
10263;367;3.68%
12489;326;3.27%
12491;283;2.84%
Outros (91 itens);1647;16.52%
TOTAL GERAL;9967;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
DEFENSORIA PUBLICA DO ESTADO DE RONDONIA;1095;70.74%
MINISTERIO PUBLICO DO ESTADO DE RONDONIA;242;15.63%
ESTADO DE RONDONIA;143;9.24%
PROCURADORIA GERAL DO ESTADO - PGE;24;1.55%
TRIBUNAL DE JUSTICA DO ESTADO DE RONDONIA;7;0.45%
MUNICIPIO DE VILHENA;5;0.32%
MUNICIPIO DE ARIQUEMES;3;0.19%
MUNICIPIO DE PORTO VELHO;3;0.19%
MUNICIPIO DE JI-PARANA;3;0.19%
MUNICIPIO DE JARU;2;0.13%
Outros (20 itens);21;1.36%
TOTAL GERAL;1548;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1119;72.29%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;249;16.09%
ESTADO OU DISTRITO FEDERAL;143;9.24%
MUNICIPIO;24;1.55%
ND;4;0.26%
SOCIEDADE EMPRESARIA LIMITADA;3;0.19%
COOPERATIVA;2;0.13%
FUNDACAO PUBLICA DE DIREITO PUBLICO FEDERAL;1;0.06%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA ESTADUAL OU DO DISTRITO FEDERAL;1;0.06%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;1;0.06%
Outros (1 itens);1;0.06%
TOTAL GERAL;1548;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE RONDONIA;4483;66.54%
MUNICIPIO DE CACOAL;577;8.56%
MUNICIPIO DE JI-PARANA;348;5.17%
MUNICIPIO DE PORTO VELHO;193;2.86%
MUNICIPIO DE ARIQUEMES;156;2.32%
MUNICIPIO DE ESPIGAO D OESTE;125;1.86%
MUNICIPIO DE VILHENA;79;1.17%
MINISTERIO PUBLICO DO ESTADO DE RONDONIA;69;1.02%
MUNICIPIO DE CEREJEIRAS;64;0.95%
MUNICIPIO DE ROLIM DE MOURA;56;0.83%
Outros (83 itens);587;8.71%
TOTAL GERAL;6737;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;4485;66.57%
MUNICIPIO;2035;30.21%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;80;1.19%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;79;1.17%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;10;0.15%
AUTARQUIA MUNICIPAL;10;0.15%
ND;7;0.10%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA MUNICIPAL;5;0.07%
ASSOCIACAO PRIVADA;5;0.07%
COOPERATIVA;5;0.07%
Outros (9 itens);16;0.24%
TOTAL GERAL;6737;100.00%




=== REGIONAL NO_TJRR_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12503;133;24.31%
12491;62;11.33%
12487;58;10.60%
12489;44;8.04%
12490;41;7.50%
12511;28;5.12%
12501;18;3.29%
10671;16;2.93%
12508;15;2.74%
12484;15;2.74%
Outros (31 itens);117;21.39%
TOTAL GERAL;547;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
ESTADO DE RORAIMA;20;43.48%
MINISTERIO PUBLICO DO ESTADO DE RORAIMA;12;26.09%
MUNICIPIO DE BOA VISTA;4;8.70%
MUNICIPIO DE BOA VISTA - RR;1;2.17%
DATA - MEDICAL PRODUTOS MEDICOS HOSPITALARES LTDA;1;2.17%
ALICERCE CONSTRUCOES E SERVICOS LTDA;1;2.17%
ALICERCE CONSTRUCOES LTDA;1;2.17%
ADVOCACIA GERAL DA UNIAO;1;2.17%
CLINICA RENAL DE RORAIMA LTDA;1;2.17%
CLINICA RENAL DE RORAIMA;1;2.17%
Outros (3 itens);3;6.52%
TOTAL GERAL;46;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;20;43.48%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;12;26.09%
SOCIEDADE EMPRESARIA LIMITADA;5;10.87%
MUNICIPIO;4;8.70%
ND;4;8.70%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;1;2.17%
TOTAL GERAL;46;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE RORAIMA;404;73.86%
MUNICIPIO DE BOA VISTA;66;12.07%
MUNICIPIO DE BOA VISTA - RR;46;8.41%
MUNICIPIO DE CARACARAI;7;1.28%
SECRETARIA DE ESTADO DA SAUDE;7;1.28%
MUNICIPIO DE CARACARAI - RR;5;0.91%
MINISTERIO PUBLICO DO ESTADO DE RORAIMA;3;0.55%
MUNICIPIO DE RORAINOPOLIS;2;0.37%
MUNICIPIO DE MUCAJAI;1;0.18%
MUNICIPIO DE MUCAJAI/RR;1;0.18%
Outros (5 itens);5;0.91%
TOTAL GERAL;547;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;404;73.86%
MUNICIPIO;79;14.44%
ND;56;10.24%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;5;0.91%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;3;0.55%
TOTAL GERAL;547;100.00%




=== REGIONAL NO_TJTO_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12500;1039;25.04%
12503;512;12.34%
12416;337;8.12%
12495;276;6.65%
12502;257;6.19%
12494;233;5.62%
10671;177;4.27%
12489;164;3.95%
12508;140;3.37%
12487;105;2.53%
Outros (99 itens);909;21.91%
TOTAL GERAL;4149;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
TOCANTINS PROCURADORIA GERAL DA JUSTICA;662;66.47%
DEFENSORIA PUBLICA DO ESTADO DO TOCANTINS;200;20.08%
ESTADO DO TOCANTINS;90;9.04%
MUNICIPIO DE PALMAS;11;1.10%
MUNICIPIO DE ARAGUAINA;7;0.70%
COMPANHIA DE SANEAMENTO DO TOCANTINS - SANEATINS;5;0.50%
MUNICIPIO DE PORTO NACIONAL;3;0.30%
MUNICIPIO DE PARAISO DO TOCANTINS;2;0.20%
MUNICIPIO DE MIRANORTE;2;0.20%
MUNICIPIO DE DOIS IRMAOS DO TOCANTINS;2;0.20%
Outros (12 itens);12;1.20%
TOTAL GERAL;996;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;662;66.47%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;200;20.08%
ESTADO OU DISTRITO FEDERAL;90;9.04%
MUNICIPIO;32;3.21%
SOCIEDADE ANONIMA ABERTA;5;0.50%
SOCIEDADE EMPRESARIA LIMITADA;2;0.20%
COOPERATIVA;2;0.20%
ENTIDADE SINDICAL;1;0.10%
SOCIEDADE ANONIMA FECHADA;1;0.10%
ASSOCIACAO PRIVADA;1;0.10%
TOTAL GERAL;996;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DO TOCANTINS;2356;63.16%
MUNICIPIO DE PALMAS;322;8.63%
MUNICIPIO DE GUARAI;180;4.83%
MUNICIPIO DE ARAGUAINA;152;4.08%
MUNICIPIO DE PARAISO DO TOCANTINS;81;2.17%
TOCANTINS PROCURADORIA GERAL DA JUSTICA;52;1.39%
MUNICIPIO DE GURUPI;46;1.23%
MUNICIPIO DE PEDRO AFONSO;40;1.07%
SECRETARIA DA ADMINISTRACAO;32;0.86%
MUNICIPIO DE PORTO NACIONAL;30;0.80%
Outros (136 itens);439;11.77%
TOTAL GERAL;3730;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;2357;63.19%
MUNICIPIO;1127;30.21%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;83;2.23%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;53;1.42%
SOCIEDADE EMPRESARIA LIMITADA;32;0.86%
ASSOCIACAO PRIVADA;17;0.46%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;13;0.35%
ND;12;0.32%
AUTARQUIA MUNICIPAL;9;0.24%
SOCIEDADE ANONIMA FECHADA;6;0.16%
Outros (10 itens);21;0.56%
TOTAL GERAL;3730;100.00%




=== REGIONAL SE_TJES_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
9196;1832;12.68%
12500;1629;11.27%
10671;1300;8.99%
12484;1130;7.82%
12511;1128;7.80%
12508;1048;7.25%
12501;999;6.91%
12491;885;6.12%
12483;765;5.29%
12499;707;4.89%
Outros (101 itens);3030;20.96%
TOTAL GERAL;14453;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
ESTADO DO ESPIRITO SANTO;84;17.43%
SECRETARIA DE ESTADO DA CULTURA;75;15.56%
PROCURADORIA GERAL DO ESTADO DO ESPIRITO SANTO;35;7.26%
MUNICIPIO DE LINHARES;23;4.77%
MUNICIPIO DE VITORIA;22;4.56%
CASA DE CUSTODIA DE VIANA;17;3.53%
SECRETARIA DE ESTADO DA JUSTICA;16;3.32%
TRIBUNAL DE CONTAS DO ESTADO DO ESPIRITO SANTO;15;3.11%
SECRETARIA DE ESTADO DA SAUDE;13;2.70%
SECRETARIA DE ESTADO DE GESTAO E RECURSOS HUMANOS;12;2.49%
Outros (63 itens);170;35.27%
TOTAL GERAL;482;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;157;32.57%
MUNICIPIO;131;27.18%
ESTADO OU DISTRITO FEDERAL;84;17.43%
ND;66;13.69%
ORGAO PUBLICO DO PODER LEGISLATIVO ESTADUAL OU DO DISTRITO FEDERAL;20;4.15%
SOCIEDADE EMPRESARIA LIMITADA;12;2.49%
ASSOCIACAO PRIVADA;9;1.87%
EMPRESARIO (INDIVIDUAL);2;0.41%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;1;0.21%
TOTAL GERAL;482;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
CASA DE CUSTODIA DE VIANA;4654;21.03%
SECRETARIA DE ESTADO DA JUSTICA;2663;12.03%
SECRETARIA DE ESTADO DA SAUDE;2489;11.25%
SECRETARIA DE ESTADO DE GESTAO E RECURSOS HUMANOS;2488;11.24%
SECRETARIA DE ESTADO DA CULTURA;2146;9.70%
ESTADO DO ESPIRITO SANTO;1605;7.25%
MUNICIPIO DE LINHARES;682;3.08%
MUNICIPIO DE CARIACICA;549;2.48%
MUNICIPIO DE GUARAPARI;393;1.78%
MUNICIPIO DE VILA VELHA;385;1.74%
Outros (235 itens);4078;18.43%
TOTAL GERAL;22132;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;14739;66.60%
MUNICIPIO;4936;22.30%
ESTADO OU DISTRITO FEDERAL;1606;7.26%
ND;476;2.15%
ORGAO PUBLICO DO PODER LEGISLATIVO ESTADUAL OU DO DISTRITO FEDERAL;206;0.93%
ORGAO PUBLICO DO PODER LEGISLATIVO MUNICIPAL;64;0.29%
ASSOCIACAO PRIVADA;36;0.16%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;26;0.12%
SOCIEDADE ANONIMA FECHADA;8;0.04%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;6;0.03%
Outros (11 itens);29;0.13%
TOTAL GERAL;22132;100.00%




=== REGIONAL SE_TJMG_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12484;10105;31.48%
12501;2878;8.97%
12503;2842;8.85%
12483;1424;4.44%
12485;1270;3.96%
12495;1239;3.86%
12511;1205;3.75%
12508;1193;3.72%
12492;894;2.78%
12491;881;2.74%
Outros (188 itens);8171;25.45%
TOTAL GERAL;32102;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
MINISTERIO PUBLICO - MPMG;2679;39.54%
ESTADO DE MINAS GERAIS;1875;27.68%
PROCURADORIA GERAL DE JUSTICA DE MINAS GERAIS;701;10.35%
DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS;145;2.14%
JUSTICA ESTADUAL;139;2.05%
MUNICIPIO DE SAO SEBASTIAO DO PARAISO;55;0.81%
MUNICIPIO DE SAO JOAO NEPOMUCENO;53;0.78%
MUNICIPIO DE SETE LAGOAS;47;0.69%
MUNICIPIO DE IPATINGA;43;0.63%
MUNICIPIO DE BELO HORIZONTE;39;0.58%
Outros (281 itens);999;14.75%
TOTAL GERAL;6775;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ND;2862;42.24%
ESTADO OU DISTRITO FEDERAL;1875;27.68%
MUNICIPIO;1019;15.04%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;701;10.35%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;231;3.41%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;29;0.43%
SOCIEDADE EMPRESARIA LIMITADA;12;0.18%
ASSOCIACAO PRIVADA;12;0.18%
FUNDACAO PRIVADA;8;0.12%
SOCIEDADE SIMPLES PURA;5;0.07%
Outros (12 itens);21;0.31%
TOTAL GERAL;6775;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE MINAS GERAIS;18255;47.69%
MUNICIPIO DE BELO HORIZONTE;1078;2.82%
MUNICIPIO DE JUIZ DE FORA;834;2.18%
MUNICIPIO DE MURIAE;536;1.40%
MUNICIPIO DE UBERLANDIA;527;1.38%
MUNICIPIO DE CATAGUASES;422;1.10%
MUNICIPIO DE LEOPOLDINA;412;1.08%
MUNICIPIO DE DIVINOPOLIS;406;1.06%
INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO MG;402;1.05%
MINAS GERAIS SECRETARIA DE ESTADO DA SAUDE;336;0.88%
Outros (1140 itens);15073;39.37%
TOTAL GERAL;38281;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;18257;47.69%
MUNICIPIO;17259;45.09%
ND;911;2.38%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;908;2.37%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;479;1.25%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;110;0.29%
ASSOCIACAO PRIVADA;100;0.26%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;60;0.16%
FUNDACAO PRIVADA;35;0.09%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;25;0.07%
Outros (19 itens);137;0.36%
TOTAL GERAL;38281;100.00%




=== REGIONAL SE_TJRJ_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12512;3363;14.75%
12494;1930;8.47%
12495;1915;8.40%
12506;1783;7.82%
12503;1780;7.81%
12487;1491;6.54%
12500;1433;6.29%
10671;1058;4.64%
12513;688;3.02%
12489;681;2.99%
Outros (175 itens);6675;29.28%
TOTAL GERAL;22797;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
DEFENSORIA PUBLICA DO ESTADO DO RIO DE JANEIRO-DPE;7201;81.96%
ESTADO DO RIO DE JANEIRO;386;4.39%
MINISTERIO PUBLICO DO ESTADO DO RIO DE JANEIRO;68;0.77%
2.� DP DE BOM JESUS DE ITABAPOANA ( 1418 );66;0.75%
DP JUNTO � 1.� VARA C�VEL DE NOVA FRIBURGO ( 741 );61;0.69%
DP JUNTO � 3.� VARA C�VEL DE TERES�POLIS ( 764 );46;0.52%
MUNICIPIO DE RIO DE JANEIRO;45;0.51%
CENTRO DE ESTUDOS JURIDICOS DA DEFENSORIA PUBLICA GERAL DO ESTADO DO RIO DE JANEIRO;42;0.48%
1.� DP DE BOM JESUS DE ITABAPOANA ( 1417 );29;0.33%
DP CRIMINAL  DE FAZENDA P�BLICA E DA VIOL�NCIA DOM�STICA E FAMILIAR CONTRA A MULHER DE PARA�BA DO SUL ( 790 );26;0.30%
Outros (402 itens);816;9.29%
TOTAL GERAL;8786;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;7269;82.73%
ND;835;9.50%
ESTADO OU DISTRITO FEDERAL;386;4.39%
MUNICIPIO;215;2.45%
SOCIEDADE EMPRESARIA LIMITADA;32;0.36%
SOCIEDADE ANONIMA FECHADA;16;0.18%
ASSOCIACAO PRIVADA;12;0.14%
COOPERATIVA;5;0.06%
EMPRESARIO (INDIVIDUAL);4;0.05%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;4;0.05%
Outros (6 itens);8;0.09%
TOTAL GERAL;8786;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DO RIO DE JANEIRO;14184;39.86%
MUNICIPIO DE RIO DE JANEIRO;5321;14.95%
MUNICIPIO DE NOVA FRIBURGO;1323;3.72%
MUNICIPIO DE TERESOPOLIS;1082;3.04%
MUNICIPIO DE PETROPOLIS;812;2.28%
MUNIC�PIO DO RIO DE JANEIRO;762;2.14%
PREFEITURA DA CIDADE DO RIO DE JANEIRO;476;1.34%
MUNICIPIO DE BOM JESUS DO ITABAPOANA;476;1.34%
MINISTERIO PUBLICO DO ESTADO DO RIO DE JANEIRO;413;1.16%
MUNICIPIO DE NITEROI;400;1.12%
Outros (854 itens);10339;29.05%
TOTAL GERAL;35588;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
MUNICIPIO;14776;41.52%
ESTADO OU DISTRITO FEDERAL;14188;39.87%
ND;4110;11.55%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;596;1.67%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;431;1.21%
FUNDACAO PUBLICA DE DIREITO PUBLICO MUNICIPAL;289;0.81%
SOCIEDADE EMPRESARIA LIMITADA;257;0.72%
SOCIEDADE ANONIMA FECHADA;175;0.49%
ASSOCIACAO PRIVADA;130;0.37%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;108;0.30%
Outros (27 itens);528;1.48%
TOTAL GERAL;35588;100.00%




=== REGIONAL SE_TJSP_CN_1-4 - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12484;6318;33.95%
12503;1499;8.06%
12487;1310;7.04%
12495;1272;6.84%
12494;980;5.27%
12508;942;5.06%
12489;857;4.61%
12499;729;3.92%
12485;637;3.42%
12500;560;3.01%
Outros (99 itens);3505;18.83%
TOTAL GERAL;18609;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
MINISTERIO PUBLICO DO ESTADO DE SAO PAULO;538;41.93%
ESTADO DE SAO PAULO;137;10.68%
JUIZO EX OFFICIO;133;10.37%
DEFENSORIA PUBLICA DO ESTADO DE SAO PAULO;97;7.56%
FUNDO ESPECIAL DE DESPESA DA ESCOLA DA DEFENSORIA PUBLICA DO ESTADO;36;2.81%
MUNICIPIO DE IGARAPAVA;26;2.03%
SANTOS E THEODORO SOCIEDADE DE ADVOGADOS;12;0.94%
SANTOS & THEODORO SOCIEDADE DE ADVOGADOS;6;0.47%
MUNICIPIO DE PIRACICABA;5;0.39%
MUNICIPIO DE JACAREI;5;0.39%
Outros (206 itens);288;22.45%
TOTAL GERAL;1283;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;541;42.17%
MUNICIPIO;205;15.98%
ND;157;12.24%
ESTADO OU DISTRITO FEDERAL;137;10.68%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;97;7.56%
SOCIEDADE EMPRESARIA LIMITADA;37;2.88%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA ESTADUAL OU DO DISTRITO FEDERAL;36;2.81%
ASSOCIACAO PRIVADA;18;1.40%
SOCIEDADE SIMPLES PURA;18;1.40%
SOCIEDADE UNIPESSOAL DE ADVOGADOS;10;0.78%
Outros (10 itens);27;2.10%
TOTAL GERAL;1283;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE SAO PAULO;11677;46.58%
SECRETARIA DE ESTADO DA SAUDE;702;2.80%
MUNICIPIO DE SAO PAULO;551;2.20%
MUNICIPIO DE PENAPOLIS;399;1.59%
MUNICIPIO DE SOROCABA;337;1.34%
MUNICIPIO DE BAURU;256;1.02%
SECRETARIA DA FAZENDA E PLANEJAMENTO;255;1.02%
MUNICIPIO DE JAHU;210;0.84%
MUNICIPIO DE RIBEIRAO PRETO;202;0.81%
INSTITUTO DE ASSISTENCIA MEDICA AO SERVIDOR PUBLICO ESTADUAL;197;0.79%
Outros (926 itens);10284;41.02%
TOTAL GERAL;25070;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;11679;46.59%
MUNICIPIO;10975;43.78%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1253;5.00%
ND;385;1.54%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;272;1.08%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;131;0.52%
ASSOCIACAO PRIVADA;95;0.38%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;61;0.24%
AUTARQUIA MUNICIPAL;59;0.24%
SOCIEDADE EMPRESARIA LIMITADA;53;0.21%
Outros (19 itens);107;0.43%
TOTAL GERAL;25070;100.00%




=== REGIONAL SE_TJSP_CN_2-4 - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12484;5737;34.36%
12503;1310;7.85%
12495;1280;7.67%
12487;1230;7.37%
12494;998;5.98%
12508;746;4.47%
12499;607;3.64%
12489;599;3.59%
12496;519;3.11%
8961;460;2.75%
Outros (93 itens);3211;19.23%
TOTAL GERAL;16697;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
MINISTERIO PUBLICO DO ESTADO DE SAO PAULO;349;34.38%
ESTADO DE SAO PAULO;137;13.50%
JUIZO EX OFFICIO;110;10.84%
DEFENSORIA PUBLICA DO ESTADO DE SAO PAULO;94;9.26%
FUNDO ESPECIAL DE DESPESA DA ESCOLA DA DEFENSORIA PUBLICA DO ESTADO;49;4.83%
SANTOS & THEODORO SOCIEDADE DE ADVOGADOS;18;1.77%
MUNICIPIO DE SAO PAULO;11;1.08%
SANTOS E THEODORO SOCIEDADE DE ADVOGADOS;9;0.89%
MUNICIPIO DE IGARAPAVA;7;0.69%
MUNICIPIO DE RIBEIRAO PRETO;6;0.59%
Outros (164 itens);225;22.17%
TOTAL GERAL;1015;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;352;34.68%
MUNICIPIO;155;15.27%
ESTADO OU DISTRITO FEDERAL;137;13.50%
ND;123;12.12%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;94;9.26%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA ESTADUAL OU DO DISTRITO FEDERAL;49;4.83%
SOCIEDADE SIMPLES PURA;29;2.86%
SOCIEDADE EMPRESARIA LIMITADA;20;1.97%
ASSOCIACAO PRIVADA;17;1.67%
SOCIEDADE ANONIMA FECHADA;11;1.08%
Outros (7 itens);28;2.76%
TOTAL GERAL;1015;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE SAO PAULO;10379;46.65%
SECRETARIA DE ESTADO DA SAUDE;718;3.23%
MUNICIPIO DE SAO PAULO;470;2.11%
MUNICIPIO DE PENAPOLIS;459;2.06%
MUNICIPIO DE SOROCABA;256;1.15%
SECRETARIA DA FAZENDA E PLANEJAMENTO;239;1.07%
MUNICIPIO DE RIBEIRAO PRETO;223;1.00%
PREFEITURA MUNICIPAL DE TATUI;213;0.96%
MUNICIPIO DE MARILIA;189;0.85%
MINISTERIO PUBLICO DO ESTADO DE SAO PAULO;189;0.85%
Outros (842 itens);8912;40.06%
TOTAL GERAL;22247;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;10379;46.65%
MUNICIPIO;9572;43.03%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1231;5.53%
ND;359;1.61%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;343;1.54%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;90;0.40%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;65;0.29%
